Text,API_1,API_2,Relation (fs/bd/fr/ec/lc/fc/tc)
"Basically, java.exe is a super simple C application that parses the command line, creates a new String array in the JVM to hold those arguments, parses out the class name that you specified as containing main(), uses JNI calls to find the main() method itself, then invokes the main() method, passing in the newly created string array as a parameter.  This is very, very much like what you do when you use reflection from Java - it just uses confusingly named native function calls instead.",java.lang.reflect.method.main,java.lang.reflect.jni,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"Basically, java.exe is a super simple C application that parses the command line, creates a new String array in the JVM to hold those arguments, parses out the class name that you specified as containing main(), uses JNI calls to find the main() method itself, then invokes the main() method, passing in the newly created string array as a parameter.  This is very, very much like what you do when you use reflection from Java - it just uses confusingly named native function calls instead.",java.lang.reflect.method.main,java.lang.reflect.reflection,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"Basically, java.exe is a super simple C application that parses the command line, creates a new String array in the JVM to hold those arguments, parses out the class name that you specified as containing main(), uses JNI calls to find the main() method itself, then invokes the main() method, passing in the newly created string array as a parameter.  This is very, very much like what you do when you use reflection from Java - it just uses confusingly named native function calls instead.",java.lang.reflect.method.main,java.lang.java.,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no')]"
"Basically, java.exe is a super simple C application that parses the command line, creates a new String array in the JVM to hold those arguments, parses out the class name that you specified as containing main(), uses JNI calls to find the main() method itself, then invokes the main() method, passing in the newly created string array as a parameter.  This is very, very much like what you do when you use reflection from Java - it just uses confusingly named native function calls instead.",java.lang.reflect.jni,java.lang.reflect.reflection,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"Yes, you should iterate over 2D boolean array in order to deep copy it. Also look at java.util.Arrays#copyOf methods if you are on Java 6.",java.util.arrays.iterate,java.util.arrays.copyof,"[('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"You do composition by having an instance of another class C as a field of your class, instead of extending C. A good example where composition would've been a lot better than inheritance is java.util.Stack, which currently extends java.util.Vector. This is now considered a blunder. A stack ""is-NOT-a"" vector; you should not be allowed to insert and remove elements arbitrarily. It should've been composition instead.",java.util.stack,java.util.vector,"[('yes', 'no', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
See also: How are SSL certificate server names resolved/Can I add alternative names using keytool? If you run into java.security.cert.CertificateException: No name matching localhost found exception.,javax.net.ssl.x509extendedtrustmanager.checkservertrusted,java.security.keystore.setentry,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
See also: How are SSL certificate server names resolved/Can I add alternative names using keytool? If you run into java.security.cert.CertificateException: No name matching localhost found exception.,javax.net.ssl.x509extendedtrustmanager.checkservertrusted,java.security.cert.certificateexception,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
See also: How are SSL certificate server names resolved/Can I add alternative names using keytool? If you run into java.security.cert.CertificateException: No name matching localhost found exception.,java.security.keystore.setentry,java.security.cert.certificateexception,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"The binder specifying dependency injection is registered in the constructor of the class, and we also tell the application where to find the REST resources (in your case, MyResource) using the packages() method call.",java.lang.class.constructor,javax.ws.rs.core.application.packages,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.get,java.util.optional.orelse,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'yes', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.get,java.util.optional.ifpresent,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.get,java.util.optional.orelsethrow,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.orelse,java.util.optional.ifpresent,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.orelse,java.util.optional.orelsethrow,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no')]"
"(Public service announcement: NEVER call Optional.get unless you can prove it will never be null; instead use one of the safe methods like orElse or ifPresent.  In retrospect, we should have called get something like getOrElseThrowNoSuchElementException or something that made it far clearer that this was a highly dangerous method that undermined the whole purpose of Optional in the first place.  Lesson learned.  (UPDATE: Java 10 has Optional.orElseThrow(), which is semantically equivalent to get(), but whose name is more appropriate.))",java.util.optional.ifpresent,java.util.optional.orelsethrow,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",javax.persistence.manytoone,javax.persistence.fetchtype.lazy,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",javax.persistence.manytoone,org.hibernate.query.query,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",javax.persistence.manytoone,org.hibernate.criteria,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",javax.persistence.fetchtype.lazy,org.hibernate.query.query,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",javax.persistence.fetchtype.lazy,org.hibernate.criteria,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"A) @ManyToOne(fetch=FetchType.LAZY) should work just fine. Are you sure it's not being overwritten in the query itself? It's possible to specify join fetch in HQL and / or explicitly set fetch mode via Criteria API which would take precedence over class annotation. If that's not the case and you're still having problems, please post your classes, query and resulting SQL for more to-the-point conversation.",org.hibernate.query.query,org.hibernate.criteria,"[('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"Please be aware: It is required to use getEnclosingConstructor() for constructors. During blocks outside of (named) methods, getEnclosingMethod() returns null.",java.lang.class.getenclosingconstructor,java.lang.class.getenclosingmethod,"[('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no')]"
String.split(String regex): Splits this string around matches of the given regular expression.,java.lang.string.split,java.lang.string,"[('yes', 'no', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'yes', 'yes')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch,java.util.concurrent.countdownlatch.countdown,"[('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch,java.util.concurrent.countdownlatch.await,"[('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch,javax.swing.jlist,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch,javax.swing.jtable.,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch.countdown,java.util.concurrent.countdownlatch.await,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch.countdown,javax.swing.jlist,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch.countdown,javax.swing.jtable.,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch.await,javax.swing.jlist,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",java.util.concurrent.countdownlatch.await,javax.swing.jtable,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"As described here, a CountDownLatch works well in this context. In the example below, each worker invokes latch.countDown() on completion, and a Supervisor worker blocks on latch.await() until all tasks complete. For demonstration purposes, the Supervisor updates the labels. Wholesale removal, shown in comments, is technically possible but generally unappealing. Instead, consider a JList or JTable.",javax.swing.jlist,javax.swing.jtable,"[('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no')]"
"There are subtle differences as to how the fileName you are passing is interpreted. Basically, you have 2 different methods: ClassLoader.getResourceAsStream() and Class.getResourceAsStream(). These two methods will locate the resource differently.",java.lang.classloader.getresourceasstream,java.lang.class.getresourceasstream,"[('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
"ClassLoader.getResourceAsStream(path) will consider all paths to be absolute paths. So calling String.class.getClassLoader().getResourceAsStream(""myfile.txt"") and String.class.getClassLoader().getResourceAsStream(""/myfile.txt"") will both look for a file in your classpath at the following location: ./myfile.txt.",java.lang.classloader.getresourceasstream,java.lang.string.class.getclassloader.getresourceasstream,"[('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
"if you need the output to be Tue rather than 3 (Days of week are indexed starting at 1 for Sunday, see Calendar.SUNDAY), instead of going through a calendar, just reformat the string:  new SimpleDateFormat(""EE"").format(date) (EE meaning ""day of week, short version"")",java.util.calendar.sunday,java.text.simpledateformat,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"if you need the output to be Tue rather than 3 (Days of week are indexed starting at 1 for Sunday, see Calendar.SUNDAY), instead of going through a calendar, just reformat the string:  new SimpleDateFormat(""EE"").format(date) (EE meaning ""day of week, short version"")",java.util.calendar.sunday,java.text.simpledateformat,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"if you need the output to be Tue rather than 3 (Days of week are indexed starting at 1 for Sunday, see Calendar.SUNDAY), instead of going through a calendar, just reformat the string:  new SimpleDateFormat(""EE"").format(date) (EE meaning ""day of week, short version"")",java.text.simpledateformat,java.text.simpledateformat,"[('no', 'yes', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes')]"
"if you have your input as string, rather than Date, you should use SimpleDateFormat to parse it: new SimpleDateFormat(""dd/M/yyyy"").parse(dateString)",java.text.simpledateformat,java.text.simpledateformat.parse,"[('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'yes', 'yes', 'yes')]"
edit: since Java 8 you can now use java.time package instead of joda-time,java.time,org.joda.time,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'yes', 'yes')]"
Then immediately convert to a LocalDate. You should handle the java.sql objects as briefly as possible. Do all your business logic and other work using only the java.time types.,java.time.localdate,java.sql,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes')]"
Then immediately convert to a LocalDate. You should handle the java.sql objects as briefly as possible. Do all your business logic and other work using only the java.time types.,java.time.localdate,java.time,"[('no', 'no', 'yes', 'no'), ('no', 'no', 'yes', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"The java.time framework is built into Java 8 and later. These classes supplant the troublesome old legacy date-time classes such as java.util.Date, Calendar, &amp; SimpleDateFormat.",java.time,java.util.calendar,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"The java.time framework is built into Java 8 and later. These classes supplant the troublesome old legacy date-time classes such as java.util.Date, Calendar, &amp; SimpleDateFormat.",java.time,java.text.simpledateformat,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"The java.time framework is built into Java 8 and later. These classes supplant the troublesome old legacy date-time classes such as java.util.Date, Calendar, &amp; SimpleDateFormat.",java.util.calendar,java.text.simpledateformat,"[('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"Pay close attention to the details. You probably are using an interface when you are only providing the implementation, or try to use a parent class when Dagger only knows about the subclass.@Qualifier or used @Named(""typeA"") with it. To Dagger this is a completely different object! Double check that you actually provide and request the same dependency.",javax.inject.qualifier,javax.inject.named,"[('yes', 'no', 'yes', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes')]"
"Pay close attention to the details. You probably are using an interface when you are only providing the implementation, or try to use a parent class when Dagger only knows about the subclass.@Qualifier or used @Named(""typeA"") with it. To Dagger this is a completely different object! Double check that you actually provide and request the same dependency.",javax.inject.qualifier,dagger.dagger,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"Pay close attention to the details. You probably are using an interface when you are only providing the implementation, or try to use a parent class when Dagger only knows about the subclass.@Qualifier or used @Named(""typeA"") with it. To Dagger this is a completely different object! Double check that you actually provide and request the same dependency.",javax.inject.named,dagger.dagger,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
"Sets the designated parameter to the given java.sql.Timestamp value, using the given Calendar object. The driver uses the Calendar object to construct an SQL TIMESTAMP value, which the driver then sends to the database. With a Calendar object, the driver can calculate the timestamp taking into account a custom time zone. If no Calendar object is specified, the driver uses the default time zone, which is that of the virtual machine running the application.",java.sql.timestamp,java.util.calendar,"[('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'no', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('no', 'yes', 'no', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes')]"
"Could not find class 'javax.mail.internet.InternetAddress', referenced from method com.my.project.Main.isValidEmailAddress",javax.mail.internet.internetaddress,com.my.project.main.isvalidemailaddress,"[('no', 'no', 'no', 'no'), ('no', 'yes', 'no', 'no'), ('no', 'no', 'yes', 'no'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'no', 'yes'), ('yes', 'yes', 'yes', 'yes'), ('no', 'no', 'no', 'no')]"
"It is recommended now to use list.toArray(new Foo[0]);, not list.toArray(new Foo[list.size()]);.",java.util.list.toarray,java.lang.object.foo,"[('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no'), ('no', 'no', 'no', 'no')]"
